2021-04-18 23:20:54,806 Epoch 0 	 Loss 0.5827321521528475
2021-04-18 23:23:58,765 Epoch 1 	 Loss 0.3315000906586647
2021-04-18 23:27:02,592 Epoch 2 	 Loss 0.24388291531211728
2021-04-18 23:30:06,405 Epoch 3 	 Loss 0.2010472881924975
2021-04-18 23:33:10,179 Epoch 4 	 Loss 0.17732308399710026
2021-04-18 23:36:13,972 Epoch 5 	 Loss 0.1619125002851853
2021-04-18 23:39:17,840 Epoch 6 	 Loss 0.15042904166729895
2021-04-18 23:42:21,673 Epoch 7 	 Loss 0.13088144104068095
2021-04-18 23:45:25,509 Epoch 8 	 Loss 0.12321492047100277
2021-04-18 23:48:29,406 Epoch 9 	 Loss 0.11685574013780761
2021-04-18 23:51:33,402 Epoch 10 	 Loss 0.10071606582010185
2021-04-18 23:54:37,217 Epoch 11 	 Loss 0.08863319014454936
2021-04-18 23:57:41,134 Epoch 12 	 Loss 0.08203533566096327
2021-04-19 00:00:45,017 Epoch 13 	 Loss 0.07807766637959324
2021-04-19 00:03:48,933 Epoch 14 	 Loss 0.07362662370388325
2021-04-19 00:06:52,756 Epoch 15 	 Loss 0.07148423176872862
2021-04-19 00:09:56,546 Epoch 16 	 Loss 0.06744475022040225
2021-04-19 00:13:00,556 Epoch 17 	 Loss 0.06433971881211459
2021-04-19 00:16:04,409 Epoch 18 	 Loss 0.11303704008869417
2021-04-19 00:19:08,181 Epoch 19 	 Loss 0.15869148046924517
2021-04-19 00:22:12,070 Epoch 20 	 Loss 0.11576900148129725
2021-04-19 00:25:15,877 Epoch 21 	 Loss 0.07856998875082194
2021-04-19 00:28:19,636 Epoch 22 	 Loss 0.06672759571081989
2021-04-19 00:31:23,397 Epoch 23 	 Loss 0.06299775593228392
2021-04-19 00:34:27,188 Epoch 24 	 Loss 0.059239813075452064
2021-04-19 00:37:30,961 Epoch 25 	 Loss 0.05517414134446081
2021-04-19 00:40:34,670 Epoch 26 	 Loss 0.053085954798446904
2021-04-19 00:43:38,379 Epoch 27 	 Loss 0.05240036796901252
2021-04-19 00:46:42,103 Epoch 28 	 Loss 0.05110949554204286
2021-04-19 00:49:45,860 Epoch 29 	 Loss 0.04999304284433742
2021-04-19 00:52:49,606 Epoch 30 	 Loss 0.049015695065423685
2021-04-19 00:55:53,524 Epoch 31 	 Loss 0.048597267552555265
2021-04-19 00:58:57,310 Epoch 32 	 Loss 0.04875732565319145
2021-04-19 01:02:01,080 Epoch 33 	 Loss 0.048042754284464396
2021-04-19 01:05:04,893 Epoch 34 	 Loss 0.0470017864890806
2021-04-19 01:08:08,700 Epoch 35 	 Loss 0.04722627041513448
2021-04-19 01:11:12,425 Epoch 36 	 Loss 0.04712546614745816
2021-04-19 01:14:16,226 Epoch 37 	 Loss 0.04646804775264892
2021-04-19 01:17:20,068 Epoch 38 	 Loss 0.045790883395206795
2021-04-19 01:20:23,896 Epoch 39 	 Loss 0.04535376550732078
