2021-04-23 12:18:12,633 Epoch 0 	 Loss 0.7065785589453938
2021-04-23 12:18:33,062 Epoch 1 	 Loss 0.47532909879317653
2021-04-23 12:18:53,511 Epoch 2 	 Loss 0.42158660963996425
2021-04-23 12:19:13,979 Epoch 3 	 Loss 0.39192720428927913
2021-04-23 12:19:34,365 Epoch 4 	 Loss 0.3671919143461919
2021-04-23 12:19:54,749 Epoch 5 	 Loss 0.3478884690410488
2021-04-23 12:20:15,199 Epoch 6 	 Loss 0.3257882776823673
2021-04-23 12:20:35,598 Epoch 7 	 Loss 0.326228719163727
2021-04-23 12:20:55,990 Epoch 8 	 Loss 0.32375303565800845
2021-04-23 12:21:16,383 Epoch 9 	 Loss 0.3188813983739077
2021-04-23 12:21:36,842 Epoch 10 	 Loss 0.31308930195294893
2021-04-23 12:21:57,349 Epoch 11 	 Loss 0.30551832848852806
2021-04-23 12:22:17,727 Epoch 12 	 Loss 0.29558283712837724
2021-04-23 12:22:38,180 Epoch 13 	 Loss 0.28715874844200007
2021-04-23 12:22:58,598 Epoch 14 	 Loss 0.2737493737713321
2021-04-23 12:23:19,078 Epoch 15 	 Loss 0.292172460765629
2021-04-23 12:23:39,557 Epoch 16 	 Loss 0.27481703951463593
2021-04-23 12:24:00,127 Epoch 17 	 Loss 0.2724769284109493
2021-04-23 12:24:20,519 Epoch 18 	 Loss 0.2699579521194919
2021-04-23 12:24:40,938 Epoch 19 	 Loss 0.26803375977081256
2021-04-23 12:25:01,337 Epoch 20 	 Loss 0.274468312224189
2021-04-23 12:25:21,715 Epoch 21 	 Loss 0.2558828096140872
2021-04-23 12:25:42,105 Epoch 22 	 Loss 0.24608051302013817
2021-04-23 12:26:02,497 Epoch 23 	 Loss 0.24848949483462743
2021-04-23 12:26:22,883 Epoch 24 	 Loss 0.24155762185762217
2021-04-23 12:26:43,297 Epoch 25 	 Loss 0.24879283564431326
2021-04-23 12:27:03,685 Epoch 26 	 Loss 0.24694906437135006
2021-04-23 12:27:24,071 Epoch 27 	 Loss 0.2363039936338152
2021-04-23 12:27:44,479 Epoch 28 	 Loss 0.24575268550888524
2021-04-23 12:28:04,936 Epoch 29 	 Loss 0.24595687104450478
2021-04-23 12:28:25,292 Epoch 30 	 Loss 0.2317285521344824
2021-04-23 12:28:45,743 Epoch 31 	 Loss 0.23698166291137318
2021-04-23 12:29:06,158 Epoch 32 	 Loss 0.23222645593213512
2021-04-23 12:29:26,536 Epoch 33 	 Loss 0.22761144791985607
2021-04-23 12:29:46,917 Epoch 34 	 Loss 0.22776452116258852
2021-04-23 12:30:07,330 Epoch 35 	 Loss 0.2235962627353249
2021-04-23 12:30:27,763 Epoch 36 	 Loss 0.2232273003229728
2021-04-23 12:30:48,115 Epoch 37 	 Loss 0.21872871000688154
2021-04-23 12:31:08,532 Epoch 38 	 Loss 0.2192709213429755
2021-04-23 12:31:28,933 Epoch 39 	 Loss 0.207586529981959
2021-04-23 12:31:49,345 Epoch 40 	 Loss 0.21622160994089568
